Iniciando testes de Rede...

Iniciando bateria: 20... 

Iniciando rodada de testes: 1 bateria: 20

Iniciando teste osu_allgather_ seg 04 set 2023 16:06:12 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
1024                  31506.92
2048                  33903.34
4096                  39097.85
8192                  82947.28
16384                162627.64
32768                262747.37
65536                399913.08
131072               713665.30
262144              1414285.65
524288              2743252.95
1048576             5595308.27
Iniciando teste osu_barrier_ ter 05 set 2023 13:11:05 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      3172.06
Iniciando teste osu_bcast_ ter 05 set 2023 13:11:09 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.48
1                       213.63
2                       213.11
4                       210.07
8                       218.94
16                      211.93
32                      214.28
64                      227.54
128                     225.56
256                    3585.32
512                    3765.95
1024                   5946.79
2048                   4116.41
4096                   4352.49
8192                   5405.50
16384                 34661.65
32768                 47338.27
65536                 58143.90
131072                78334.49
262144               117705.56
524288               191144.30
1048576              352399.12
Iniciando teste osu_gather_ ter 05 set 2023 13:18:15 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.89
1                     26227.17
2                     25085.39
4                     26020.36
8                     27976.12
16                    27255.84
32                    28478.94
64                    30758.61
128                   26704.88
256                   24447.71
512                   25316.16
1024                  23311.18
2048                  33075.43
4096                  40839.28
8192                  46749.30
16384                 22360.97
32768                 23345.38
65536                 30790.12
131072                80991.08
262144               116776.03
524288               190118.89
1048576              689858.14
Iniciando teste osu_multi_lat_ ter 05 set 2023 14:36:45 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       632.08
1                       623.52
2                       624.25
4                       620.19
8                       621.57
16                      621.81
32                      630.98
64                      636.66
128                     660.89
256                    1022.25
512                    1383.81
1024                   1711.07
2048                   1197.18
4096                   1323.54
8192                   1791.06
16384                  3563.42
32768                  5363.72
65536                  9522.79
131072                25189.84
262144                50505.52
524288                88124.60
1048576              154740.51
2097152              309707.68
4194304              637921.78
Iniciando teste osu_scatter_ ter 05 set 2023 15:38:21 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.61
1                       468.51
2                       478.26
4                       482.92
8                       479.19
16                      500.88
32                      498.11
64                     1325.88
128                    2510.84
256                    4379.65
512                    4792.98
1024                   5121.28
2048                   5851.82
4096                   9075.32
8192                  14625.90
16384                 27064.01
32768                 50481.27
65536                 98786.78
131072               194738.85
262144               382525.58
524288               763228.08
1048576             1543215.35
Rodada 5 bateria: 20 
Iniciando bateria: 24... 

Iniciando rodada de testes: 1 bateria: 24

Iniciando teste osu_allgather_ ter 05 set 2023 15:53:26 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.63
1                      2914.92
2                      2898.93
4                      2897.02
8                      2879.60
16                     2932.84
32                     3036.50
64                     3709.10
128                    4664.42
256                    6956.69
512                    8084.17
1024                   9871.56
2048                  12298.66
4096                  61356.18
8192                  80191.84
16384                143533.30
32768                223759.67
65536                413827.15
131072               857691.19
262144              1634920.35
524288              3265733.88
1048576             6515228.14
Iniciando teste osu_alltoall_ ter 05 set 2023 16:54:58 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.53
1                      3697.97
2                      3622.96
